# Solvent atomic contributions to total GMD. 
#
# Input file: 
#
# Atoms: 
#     1  OH2     OT       mass:     15.99940
#     2  H1      HT       mass:      1.00800
#     3  H2      HT       mass:      1.00800
#
#     DISTANCE     GMD TOTAL             1             2             3
       0.15874       0.00000       0.00000       0.00000       0.00000
       0.33019       0.00000       0.00000       0.00000       0.00000
       0.51925       0.00000       0.00000       0.00000       0.00000
       0.71400       0.00000       0.00000       0.00000       0.00000
       0.91098       0.00000       0.00000       0.00000       0.00000
       1.10902       0.00000       0.00000       0.00000       0.00000
       1.30765       0.00000       0.00000       0.00000       0.00000
       1.50664       0.05881       0.00173       0.02681       0.03027
       1.70586       1.32629       0.16249       0.59003       0.57378
       1.90525       1.96006       0.43869       0.79435       0.72703
       2.10475       1.33247       0.29978       0.49805       0.53464
       2.30434       1.14161       0.18261       0.48447       0.47453
       2.50399       1.31379       0.25078       0.54273       0.52027
       2.70370       1.26073       0.27259       0.48965       0.49849
       2.90344       1.09822       0.20048       0.44005       0.45770
       3.10322       1.01387       0.17907       0.40984       0.42497
       3.30303       0.92512       0.13535       0.38371       0.40606
       3.50285       0.93096       0.14083       0.41874       0.37139
       3.70270       0.99366       0.16825       0.44257       0.38283
       3.90256       1.01354       0.18570       0.42410       0.40374
       4.10244       1.06396       0.18769       0.42678       0.44949
       4.30232       1.00830       0.19492       0.42474       0.38864
       4.50222       1.01962       0.18207       0.43345       0.40409
       4.70213       0.97195       0.17111       0.42603       0.37481
       4.90204       0.97519       0.17080       0.42470       0.37969
       5.10196       0.98260       0.17400       0.41397       0.39463
       5.30189       0.97514       0.20452       0.38305       0.38757
       5.50182       0.99978       0.19256       0.41558       0.39164
       5.70175       1.03001       0.19791       0.42243       0.40966
       5.90169       1.04006       0.20244       0.40060       0.43702
       6.10164       1.04153       0.18840       0.42389       0.42924
       6.30159       1.03082       0.18491       0.41233       0.43358
       6.50154       1.08597       0.23249       0.42261       0.43087
       6.70149       1.02335       0.22030       0.41015       0.39289
       6.90145       1.03268       0.18462       0.40774       0.44032
       7.10141       0.92739       0.16906       0.38112       0.37721
       7.30137       1.05953       0.19812       0.43314       0.42828
       7.50133       1.05878       0.20036       0.43586       0.42256
       7.70130       1.00875       0.19233       0.42216       0.39427
       7.90127       0.95518       0.18736       0.37381       0.39401
       8.10123       1.02818       0.18007       0.45737       0.39074
       8.30120       1.03963       0.18455       0.41919       0.43589
       8.50118       1.01987       0.19244       0.40795       0.41947
       8.70115       1.04560       0.21691       0.41346       0.41523
       8.90112       1.02020       0.19934       0.40303       0.41783
       9.10110       1.04311       0.20118       0.42181       0.42012
       9.30107       1.03561       0.18944       0.43193       0.41425
       9.50105       1.02105       0.18307       0.41774       0.42024
       9.70103       1.01425       0.18860       0.42415       0.40149
       9.90101       1.03918       0.20351       0.42625       0.40942
